"stop,name_tc,name_en"
"001001,""中央廣場, 亞畢諾道"",""The Centrium, Arbuthnot Road"""
"001002,""西寶城, 卑路乍街"",""The Westwood, Belcher's Street"""
"001003,""山市街, 卑路乍街"",""Sands Street, Belcher's Street"""
"001004,""北街, 卑路乍街"",""North Street, Belcher's Street"""
"001005,""聯邦新樓, 卑路乍街"",""Luen Bong Apartment, Belcher's Street"""
"001006,""英皇書院, 般咸道"",""King's College, Bonham Road"""
"001007,""寧養台, 般咸道"",""Ning Yeung Terrace, Bonham Road"""
"001008,""東邊街, 般咸道"",""Eastern Street, Bonham Road"""
"001009,""高街, 般咸道"",""High Street, Bonham Road"""
"001010,""醫院道, 般咸道"",""Hospital Road, Bonham Road"""
"001011,""豫苑, 般咸道"",""Euston Court, Bonham Road"""
"001012,""香港大學東閘, 般咸道"",""HKU East Gate, Bonham Road"""
"001013,""東邊街, 般咸道"",""Eastern Street, Bonham Road"""
"001014,""正街, 般咸道"",""Centre Street, Bonham Road"""
"001015,""樓梯街, 堅道"",""Ladder Street, Caine Road"""
"001016,""鴨巴甸街, 堅道"",""Aberdeen Street, Caine Road"""
"001017,""明愛中心, 堅道"",""Caritas Centre, Caine Road"""
"001018,""明愛中心, 堅道"",""Caritas Centre, Caine Road"""
"001019,""孫中山紀念館, 堅道"",""Dr Sun Yat-sen Museum, Caine Road"""
"001020,""樓梯街, 堅道"",""Ladder Street, Caine Road"""
"001021,""西摩道, 堅道"",""Seymour Road, Caine Road"""
"001022,""爹核士街, 吉席街"",""Davis Street, Catchick Street"""
"001024,""遮打大廈, 遮打道"",""Chater House, Chater Road"""
"001025,""皇后像廣場, 遮打道"",""Statue Square, Chater Road"""
"001026,中環碼頭 - 長洲及南丫島渡輪,Central Ferry – Cheung Chau & Lamma Island Ferry"
"001027,中環 (港澳碼頭),Central (Macau Ferry)"
"001028,""港澳碼頭, 干諾道中"",""Macau Ferry, Connaught Road Central"""
"001029,""海港政府大樓, 統一碼頭道"",""Harbour Building, Pier Road"""
"001030,""怡和大廈, 干諾道中"",""Jardine House, Connaught Road Central"""
"001031,""大會堂, 干諾道中"",""City Hall, Connaught Road Central"""
"001032,中環 (交易廣場),Central (Exchange Square)"
"001033,""皇后像廣場, 干諾道中"",""Statue Square, Connaught Road Central"""
"001034,""砵典乍街, 干諾道中"",""Pottinger Street, Connaught Road Central"""
"001035,""恒生銀行總行大廈, 干諾道中"",""Hang Seng Bank Headquarters, Connaught Road Central"""
"001036,""租庇利街, 干諾道中"",""Jubilee Street, Connaught Road Central"""
"001037,""林士街, 干諾道中"",""Rumsey Street, Connaught Road Central"""
"001038,""永安中心, 干諾道中"",""Wing On Centre, Connaught Road Central"""
"001039,""禧利街, 干諾道中"",""Hillier Street, Connaught Road Central"""
"001040,""西港城, 干諾道西"",""Western Market, Connaught Road West"""
"001041,""香港公園, 紅棉路"",""Hong Kong Park, Cotton Tree Drive"""
"001042,""蘭桂坊, 德己立街"",""Lan Kwai Fong, D'Aguilar Street"""
"001044,""林士街, 德輔道中"",""Rumsey Street, Des Voeux Road Central"""
"001046,""中環街市, 德輔道中"",""Central Market, Des Voeux Road Central"""
"001047,""德忌利士街, 德輔道中"",""Douglas Street, Des Voeux Road Central"""
"001049,""德忌利士街, 德輔道中"",""Douglas Street, Des Voeux Road Central"""
"001050,""歷山大廈, 德輔道中"",""Alexandra House, Des Voeux Road Central"""
"001051,""皇后像廣場, 德輔道中"",""Statue Square, Des Voeux Road Central"""
"001052,""遮打花園, 德輔道中"",""Chater Garden, Des Voeux Road Central"""
"001053,""滙豐總行大廈, 德輔道中"",""HSBC Main Building, Des Voeux Road Central"""
"001054,""置地廣場, 德輔道中"",""The Landmark, Des Voeux Road Central"""
"001055,""利源東街, 德輔道中"",""Li Yuen Street East, Des Voeux Road Central"""
"001056,""中環街市, 德輔道中"",""Central Market, Des Voeux Road Central"""
"001057,""永吉街, 德輔道中"",""Wing Kut Street, Des Voeux Road Central"""
"001058,""文華里, 德輔道中"",""Man Wa Lane, Des Voeux Road Central"""
"001059,""堅尼地城游泳池休憩處, 德輔道西"",""Kennedy Town Swimming Pool Sitting-out Area, Des Voeux Road West"""
"001060,""山道, 德輔道西"",""Hill Road, Des Voeux Road West"""
"001061,""嘉安街, 德輔道西"",""Ka On Street, Des Voeux Road West"""
"001062,""西區警署, 德輔道西"",""Western Police Station, Des Voeux Road West"""
"001063,""正街, 德輔道西"",""Centre Street, Des Voeux Road West"""
"001064,""東邊街, 德輔道西"",""Eastern Street, Des Voeux Road West"""
"001065,""修打蘭街, 德輔道西"",""Sutherland Street, Des Voeux Road West"""
"001066,""皇后街, 德輔道西"",""Queen Street, Des Voeux Road West"""
"001067,""高陞街, 德輔道西"",""Ko Shing Street, Des Voeux Road West"""
"001068,""正街, 德輔道西"",""Centre Street, Des Voeux Road West"""
"001069,""水街, 德輔道西"",""Water Street, Des Voeux Road West"""
"001070,""山道, 德輔道西"",""Hill Road, Des Voeux Road West"""
"001072,""香港動植物公園, 花園道"",""HK Zoological & Botanical Garden, Garden Road"""
"001073,""聖約翰座堂, 花園道"",""St. John's Cathedral, Garden Road"""
"001074,""金鐘 - 海富中心, 夏慤道"",""Admiralty - Admiralty Centre, Harcourt Road"""
"001075,""大館, 荷李活道"",""Tai Kwun, Hollywood Road"""
"001076,""歷山大廈, 雪廠街"",""Alexandra House, Ice House Street"""
"001077,""聖若瑟書院, 堅尼地道"",""St. Joseph's College, Kennedy Road"""
"001078,""堅麗閣, 堅尼地道"",""Kennedy Heights, Kennedy Road"""
"001079,""歌連臣街, 堅彌地城海旁"",""Collinson Street, Kennedy Town Praya"""
"001080,""卑路乍灣公園, 堅彌地城海旁"",""Belcher Bay Park, Kennedy Town Praya"""
"001081,""西祥街, 堅彌地城海旁"",""Sai Cheung Street, Kennedy Town Praya"""
"001082,""堅尼地城游泳池, 堅彌地城海旁"",""Kennedy Town Swimming Pool, Kennedy Town Praya"""
"001083,""山市街, 堅彌地城海旁"",""Sands Street, Kennedy Town Praya"""
"001084,擺花街,Lyndhurst Terrace"
"001085,""女青年會, 麥當勞道"",""YWCA, MacDonnell Road"""
"001086,""纜車徑, 麥當勞道"",""Tramway Path, MacDonnell Road"""
"001087,""聖保羅男女中學, 麥當勞道"",""St. Paul's Co-educational College, MacDonnell Road"""
"001088,""龍景樓, 麥當勞道"",""Dragon View, MacDonnell Road"""
"001089,""外交部駐港特派員公署, 麥當勞道"",""Office of The PRC Ministry of Foreign Affairs, MacDonnell Road"""
"001090,美利道,Murray Road"
"001091,""豫苑, 柏道"",""Euston Court, Park Road"""
"001092,""聖士提反女子中學, 柏道"",""St. Stephen's Girls' College, Park Road"""
"001093,""忌利文道, 山頂道"",""Craigmin Road, Peak Road"""
"001094,""馬己仙峽道, 山頂道"",""Magazine Gap Road, Peak Road"""
"001095,""山頂道 30 號, 山頂道"",""30 Peak Road, Peak Road"""
"001096,山頂,The Peak"
"001097,""灣仔峽道, 山頂道"",""Wan Chai Gap Road, Peak Road"""
"001098,""加列山道, 山頂道"",""Mount Kellett Road, Peak Road"""
"001099,""山頂警署, 山頂道"",""The Peak Police Station, Peak Road"""
"001100,""僑福道, 山頂道"",""Guildford Road, Peak Road"""
"001101,""山頂警署, 山頂道"",""The Peak Police Station, Peak Road"""
"001102,""加列山道, 山頂道"",""Mount Kellett Road, Peak Road"""
"001103,""太古大廈, 山頂道"",""Taikoo House, Peak Road"""
"001104,""忌利文道, 山頂道"",""Craigmin Road, Peak Road"""
"001105,""僑福道, 山頂道"",""Guildford Road, Peak Road"""
"001106,畢打街,Pedder Street"
"001107,""中區政府碼頭, 民光街"",""Central Government Pier, Man Kwong Street"""
"001108,中環 (林士街),Central (Rumsey Street)"
"001109,""摩星嶺道, 薄扶林道"",""Mount Davis Road, Pok Fu Lam Road"""
"001110,""富林苑, 薄扶林道"",""Fulham Garden, Pok Fu Lam Road"""
"001111,""蒲飛路, 薄扶林道"",""Pokfield Road, Pok Fu Lam Road"""
"001112,""何東夫人堂, 薄扶林道"",""Lady Ho Tung Hall, Pok Fu Lam Road"""
"001113,""香港大學百周年校園, 薄扶林道"",""HKU Centennial Campus, Pok Fu Lam Road"""
"001114,""聖士提反堂中學, 薄扶林道"",""St. Stephen's Church College, Pok Fu Lam Road"""
"001115,蒲飛路,Pokfield Road"
"001116,""香港大學西閘, 薄扶林道"",""HKU West Gate, Pok Fu Lam Road"""
"001117,""何東夫人堂, 薄扶林道"",""Lady Ho Tung Hall, Pok Fu Lam Road"""
"001118,""薄扶林道遊樂場, 薄扶林道"",""Pok Fu Lam Road Playground, Pok Fu Lam Road"""
"001119,""李陞小學, 薄扶林道"",""Li Sing Primary School, Pok Fu Lam Road"""
"001120,""蒲飛路, 薄扶林道"",""Pokfield Road, Pok Fu Lam Road"""
"001121,""中環街市, 域多利皇后街"",""Central Market, Queen Victoria Street"""
"001122,""滙豐總行大廈, 皇后大道中"",""HSBC Main Building, Queen's Road Central"""
"001124,""中環中心, 皇后大道中"",""The Center, Queen's Road Central"""
"001125,""威靈頓街, 皇后大道中"",""Wellington Street, Queen's Road Central"""
"001126,""荷李活華庭, 皇后大道中"",""Hollywood Terrace, Queen's Road Central"""
"001127,""上環文娛中心, 皇后大道中"",""Sheung Wan Civic Centre, Queen's Road Central"""
"001128,""日富里, 皇后大道西"",""Yat Fu Lane, Queen's Road West"""
"001129,""東邊街, 皇后大道西"",""Eastern Street, Queen's Road West"""
"001130,""正街, 皇后大道西"",""Centre Street, Queen's Road West"""
"001131,""西邊街, 皇后大道西"",""Western Street, Queen's Road West"""
"001132,""朝光街, 皇后大道西"",""Chiu Kwong Street, Queen's Road West"""
"001133,""石塘咀市政大廈, 皇后大道西"",""Shek Tong Tsui Complex, Queen's Road West"""
"001134,""帝后華庭, 皇后大道西"",""Queen's Terrace, Queen's Road West"""
"001135,""修打蘭街, 皇后大道西"",""Sutherland Street, Queen's Road West"""
"001136,""金鐘 - 金鐘花園, 金鐘道"",""Admiralty - Admiralty Garden, Queensway"""
"001137,""金鐘 - 統一中心, 金鐘道"",""Admiralty - United Centre, Queensway"""
